ID,Income.Group
32562,<=50
32563,>50
32564,<=50
32565,<=50
32566,<=50
32567,<=50
32568,<=50
32569,>50
32570,<=50
32571,<=50
32572,<=50
32573,<=50
32574,<=50
32575,<=50
32576,>50
32577,>50
32578,<=50
32579,<=50
32580,<=50
32581,>50
32582,>50
32583,<=50
32584,<=50
32585,<=50
32586,<=50
32587,<=50
32588,<=50
32589,<=50
32590,<=50
32591,<=50
32592,>50
32593,<=50
32594,<=50
32595,<=50
32596,<=50
32597,<=50
32598,<=50
32599,<=50
32600,<=50
32601,<=50
32602,>50
32603,>50
32604,<=50
32605,<=50
32606,<=50
32607,<=50
32608,<=50
32609,>50
32610,<=50
32611,<=50
32612,<=50
32613,<=50
32614,<=50
32615,<=50
32616,<=50
32617,<=50
32618,<=50
32619,>50
32620,>50
32621,<=50
32622,<=50
32623,<=50
32624,<=50
32625,<=50
32626,<=50
32627,<=50
32628,>50
32629,<=50
32630,<=50
32631,>50
32632,>50
32633,<=50
32634,<=50
32635,<=50
32636,<=50
32637,<=50
32638,>50
32639,>50
32640,<=50
32641,<=50
32642,<=50
32643,<=50
32644,<=50
32645,>50
32646,<=50
32647,<=50
32648,<=50
32649,>50
32650,<=50
32651,<=50
32652,<=50
32653,<=50
32654,<=50
32655,<=50
32656,<=50
32657,<=50
32658,<=50
32659,<=50
32660,<=50
32661,<=50
32662,<=50
32663,<=50
32664,<=50
32665,<=50
32666,<=50
32667,<=50
32668,<=50
32669,<=50
32670,<=50
32671,<=50
32672,<=50
32673,<=50
32674,<=50
32675,<=50
32676,<=50
32677,<=50
32678,<=50
32679,<=50
32680,<=50
32681,<=50
32682,<=50
32683,<=50
32684,<=50
32685,<=50
32686,<=50
32687,<=50
32688,>50
32689,<=50
32690,<=50
32691,>50
32692,<=50
32693,<=50
32694,<=50
32695,>50
32696,>50
32697,<=50
32698,>50
32699,<=50
32700,<=50
32701,<=50
32702,<=50
32703,<=50
32704,>50
32705,>50
32706,<=50
32707,<=50
32708,<=50
32709,<=50
32710,>50
32711,<=50
32712,<=50
32713,<=50
32714,<=50
32715,<=50
32716,>50
32717,<=50
32718,<=50
32719,<=50
32720,<=50
32721,<=50
32722,<=50
32723,<=50
32724,<=50
32725,<=50
32726,>50
32727,<=50
32728,>50
32729,>50
32730,<=50
32731,<=50
32732,<=50
32733,<=50
32734,<=50
32735,>50
32736,<=50
32737,>50
32738,<=50
32739,<=50
32740,>50
32741,<=50
32742,<=50
32743,>50
32744,<=50
32745,<=50
32746,<=50
32747,<=50
32748,<=50
32749,<=50
32750,<=50
32751,<=50
32752,>50
32753,<=50
32754,<=50
32755,<=50
32756,<=50
32757,<=50
32758,<=50
32759,>50
32760,<=50
32761,<=50
32762,<=50
32763,>50
32764,<=50
32765,<=50
32766,<=50
32767,>50
32768,<=50
32769,<=50
32770,>50
32771,<=50
32772,<=50
32773,<=50
32774,<=50
32775,>50
32776,<=50
32777,<=50
32778,<=50
32779,<=50
32780,<=50
32781,<=50
32782,>50
